NAME,Quarter1,Quarter2,Quarter3,Quarter4,TOTAL
Nikhil Joson,5351,14036,10843,15720,45950
Jyothis V James,8603,12903,13176,17719,52401
Vishnu N S,7408,13840,13245,17990,52483
Praveen B K,6570,14919,16634,16562,54685
Shirfil Mohammed,6533,9333,11940,18412,46218
Amal Majeed,8656,11914,17398,17967,55935
Ashwini P K,5452,14867,17101,15958,53378
Lenna Ummer,5048,11891,15414,13166,45519
Parvathy Sathi,7975,11732,12425,18005,50137
Neha M V,5985,14022,16108,16272,52387
Sharon Dcruz,6874,12882,12954,17476,50186
Dhiya Markose,6617,14030,11834,17768,50249
Lulu Fathima,6293,14765,10523,17519,49100
Asiya,5773,7644,13898,14849,42164
Aisha,7580,7578,13162,15441,43761
